4.987849	10.536130	CS
11.124584	17.653622	CS
18.830530	19.166789	CS
20.707978	21.688735	CS
22.669492	23.566184	CS
23.566184	28.526011	NCS
28.526011	28.862270	CS
28.862270	29.899070	NCS
29.899070	30.207308	CS
30.207308	32.421016	NCS
32.421016	35.839654	CS
35.839654	47.216432	NCS
47.216432	47.944995	CS
47.944995	48.813665	NCS
48.813665	49.430141	CS
49.430141	50.354854	NCS
50.354854	50.803200	CS
50.803200	53.269103	NCS
53.269103	53.829535	CS
53.829535	59.433859	NCS
59.433859	60.078357	CS
