0.000000	2.868884	NCS
0.268516	0.621827	CS
2.868884	3.137400	CS
3.137400	4.677835	NCS
4.677835	5.017014	CS
5.017014	7.885897	NCS
7.885897	9.412200	CS
9.412200	10.472132	NCS
10.472132	16.209900	CS
16.209900	17.778600	NCS
17.778600	18.923327	CS
18.923327	19.432095	NCS
19.432095	20.534424	CS
20.534424	21.721549	NCS
21.721549	22.470568	CS
22.470568	25.947146	NCS
25.947146	26.314589	CS
26.314589	26.823357	NCS
26.823357	30.144478	CS
30.144478	30.865232	NCS
30.865232	31.374000	CS
31.374000	42.835403	NCS
42.835403	44.630222	CS
44.630222	50.650638	NCS
50.650638	51.032214	CS
51.032214	54.734911	NCS
54.734911	57.222219	CS
57.222219	60.091103	NCS
